Function_id	Function_name	Number_pathway	Pathway_ids	Pathway_names
K22540	3-hydroxyacyl-thioester dehydratase, animal type [EC:4.2.1.-]	1	ko00061	Metabolism;Lipid metabolism;Fatty acid biosynthesis
K22541	3-hydroxyacyl-thioester dehydratase, fungi type [EC:4.2.1.-]	1	ko00061	Metabolism;Lipid metabolism;Fatty acid biosynthesis
K00208	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	3	ko00061 & ko00780 & ko00333	Metabolism;Lipid metabolism;Fatty acid biosynthesis & Metabolism;Metabolism of cofactors and vitamins;Biotin metabolism & Metabolism;Biosynthesis of other secondary metabolites;Prodigiosin biosynthesis
K02371	enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]	1	ko00061	Metabolism;Lipid metabolism;Fatty acid biosynthesis
K10780	enoyl-[acyl-carrier protein] reductase III [EC:1.3.1.104]	1	ko00061	Metabolism;Lipid metabolism;Fatty acid biosynthesis
K07512	mitochondrial enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase [EC:1.3.1.- 1.3.1.38]	2	ko00061 & ko00062	Metabolism;Lipid metabolism;Fatty acid biosynthesis & Metabolism;Lipid metabolism;Fatty acid elongation
K18474	trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:5.3.3.14]	1	ko00061	Metabolism;Lipid metabolism;Fatty acid biosynthesis
K10781	fatty acyl-ACP thioesterase B [EC:3.1.2.14 3.1.2.21]	1	ko00061	Metabolism;Lipid metabolism;Fatty acid biosynthesis
K01071	medium-chain acyl-[acyl-carrier-protein] hydrolase [EC:3.1.2.21]	1	ko00061	Metabolism;Lipid metabolism;Fatty acid biosynthesis
K10782	fatty acyl-ACP thioesterase A [EC:3.1.2.14]	1	ko00061	Metabolism;Lipid metabolism;Fatty acid biosynthesis
K03921	acyl-[acyl-carrier-protein] desaturase [EC:1.14.19.2 1.14.19.11 1.14.19.26]	2	ko00061 & ko01040	Metabolism;Lipid metabolism;Fatty acid biosynthesis & Metabolism;Lipid metabolism;Biosynthesis of unsaturated fatty acids
K03922	acyl-[acyl-carrier-protein] desaturase [EC:1.14.19.2]	2	ko00061 & ko01040	Metabolism;Lipid metabolism;Fatty acid biosynthesis & Metabolism;Lipid metabolism;Biosynthesis of unsaturated fatty acids
K01897	long-chain acyl-CoA synthetase [EC:6.2.1.3]	2	ko00061 & ko00071	Metabolism;Lipid metabolism;Fatty acid biosynthesis & Metabolism;Lipid metabolism;Fatty acid degradation
K15013	long-chain-fatty-acid--CoA ligase ACSBG [EC:6.2.1.3]	2	ko00061 & ko00071	Metabolism;Lipid metabolism;Fatty acid biosynthesis & Metabolism;Lipid metabolism;Fatty acid degradation
K07508	acetyl-CoA acyltransferase 2 [EC:2.3.1.16]	3	ko00062 & ko00071 & ko00280	Metabolism;Lipid metabolism;Fatty acid elongation & Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Amino acid metabolism;Valine, leucine and isoleucine degradation
K07509	acetyl-CoA acyltransferase [EC:2.3.1.16]	3	ko00062 & ko00071 & ko00280	Metabolism;Lipid metabolism;Fatty acid elongation & Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Amino acid metabolism;Valine, leucine and isoleucine degradation
K01074	palmitoyl-protein thioesterase [EC:3.1.2.22]	1	ko00062	Metabolism;Lipid metabolism;Fatty acid elongation
K10247	elongation of very long chain fatty acids protein 1 [EC:2.3.1.199]	2	ko00062 & ko01040	Metabolism;Lipid metabolism;Fatty acid elongation & Metabolism;Lipid metabolism;Biosynthesis of unsaturated fatty acids
K10205	elongation of very long chain fatty acids protein 2 [EC:2.3.1.199]	2	ko00062 & ko01040	Metabolism;Lipid metabolism;Fatty acid elongation & Metabolism;Lipid metabolism;Biosynthesis of unsaturated fatty acids
K10248	elongation of very long chain fatty acids protein 3 [EC:2.3.1.199]	2	ko00062 & ko01040	Metabolism;Lipid metabolism;Fatty acid elongation & Metabolism;Lipid metabolism;Biosynthesis of unsaturated fatty acids
K10249	elongation of very long chain fatty acids protein 4 [EC:2.3.1.199]	2	ko00062 & ko01040	Metabolism;Lipid metabolism;Fatty acid elongation & Metabolism;Lipid metabolism;Biosynthesis of unsaturated fatty acids
K10244	elongation of very long chain fatty acids protein 5 [EC:2.3.1.199]	2	ko00062 & ko01040	Metabolism;Lipid metabolism;Fatty acid elongation & Metabolism;Lipid metabolism;Biosynthesis of unsaturated fatty acids
K10203	elongation of very long chain fatty acids protein 6 [EC:2.3.1.199]	2	ko00062 & ko01040	Metabolism;Lipid metabolism;Fatty acid elongation & Metabolism;Lipid metabolism;Biosynthesis of unsaturated fatty acids
K10250	elongation of very long chain fatty acids protein 7 [EC:2.3.1.199]	2	ko00062 & ko01040	Metabolism;Lipid metabolism;Fatty acid elongation & Metabolism;Lipid metabolism;Biosynthesis of unsaturated fatty acids
K15397	3-ketoacyl-CoA synthase [EC:2.3.1.199]	1	ko00062	Metabolism;Lipid metabolism;Fatty acid elongation
K10245	fatty acid elongase 2 [EC:2.3.1.199]	2	ko00062 & ko01040	Metabolism;Lipid metabolism;Fatty acid elongation & Metabolism;Lipid metabolism;Biosynthesis of unsaturated fatty acids
K10246	fatty acid elongase 3 [EC:2.3.1.199]	2	ko00062 & ko01040	Metabolism;Lipid metabolism;Fatty acid elongation & Metabolism;Lipid metabolism;Biosynthesis of unsaturated fatty acids
K10251	17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase [EC:1.1.1.62 1.1.1.330]	3	ko00062 & ko00140 & ko01040	Metabolism;Lipid metabolism;Fatty acid elongation & Metabolism;Lipid metabolism;Steroid hormone biosynthesis & Metabolism;Lipid metabolism;Biosynthesis of unsaturated fatty acids
K10703	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [EC:4.2.1.134]	2	ko00062 & ko01040	Metabolism;Lipid metabolism;Fatty acid elongation & Metabolism;Lipid metabolism;Biosynthesis of unsaturated fatty acids
K10258	very-long-chain enoyl-CoA reductase [EC:1.3.1.93]	2	ko00062 & ko01040	Metabolism;Lipid metabolism;Fatty acid elongation & Metabolism;Lipid metabolism;Biosynthesis of unsaturated fatty acids
K01068	acyl-coenzyme A thioesterase 1/2/4 [EC:3.1.2.2]	2	ko00062 & ko01040	Metabolism;Lipid metabolism;Fatty acid elongation & Metabolism;Lipid metabolism;Biosynthesis of unsaturated fatty acids
K17360	acyl-coenzyme A thioesterase 7 [EC:3.1.2.2]	2	ko00062 & ko01040	Metabolism;Lipid metabolism;Fatty acid elongation & Metabolism;Lipid metabolism;Biosynthesis of unsaturated fatty acids
K16339	acyl-coenzyme A thioesterase THEM4 [EC:3.1.2.2]	1	ko00062	Metabolism;Lipid metabolism;Fatty acid elongation
K22554	acyl-coenzyme A thioesterase THEM5 [EC:3.1.2.2]	1	ko00062	Metabolism;Lipid metabolism;Fatty acid elongation
K00632	acetyl-CoA acyltransferase [EC:2.3.1.16]	6	ko00071 & ko00592 & ko00280 & ko00907 & ko00362 & ko00642	Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Lipid metabolism;alpha-Linolenic acid metabolism & Metabolism;Amino acid metabolism;Valine, leucine and isoleucine degradation & Metabolism;Metabolism of terpenoids and polyketides;Pinene, camphor and geraniol degradation & Metabolism;Xenobiotics biodegradation and metabolism;Benzoate degradation & Metabolism;Xenobiotics biodegradation and metabolism;Ethylbenzene degradation
K07513	acetyl-CoA acyltransferase 1 [EC:2.3.1.16]	4	ko00071 & ko00592 & ko01040 & ko00280	Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Lipid metabolism;alpha-Linolenic acid metabolism & Metabolism;Lipid metabolism;Biosynthesis of unsaturated fatty acids & Metabolism;Amino acid metabolism;Valine, leucine and isoleucine degradation
K10527	enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35 1.1.1.211]	2	ko00071 & ko00592	Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Lipid metabolism;alpha-Linolenic acid metabolism
K13767	enoyl-CoA hydratase [EC:4.2.1.17]	2	ko00071 & ko00362	Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Xenobiotics biodegradation and metabolism;Benzoate degradation
K00249	acyl-CoA dehydrogenase [EC:1.3.8.7]	2	ko00071 & ko00280	Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Amino acid metabolism;Valine, leucine and isoleucine degradation
K00255	long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]	1	ko00071	Metabolism;Lipid metabolism;Fatty acid degradation
K06445	acyl-CoA dehydrogenase [EC:1.3.99.-]	1	ko00071	Metabolism;Lipid metabolism;Fatty acid degradation
K09478	short-chain 2-methylacyl-CoA dehydrogenase [EC:1.3.8.5]	2	ko00071 & ko00280	Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Amino acid metabolism;Valine, leucine and isoleucine degradation
K09479	very long chain acyl-CoA dehydrogenase [EC:1.3.8.9]	1	ko00071	Metabolism;Lipid metabolism;Fatty acid degradation
K00252	glutaryl-CoA dehydrogenase [EC:1.3.8.6]	4	ko00071 & ko00310 & ko00380 & ko00362	Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Amino acid metabolism;Lysine degradation & Metabolism;Amino acid metabolism;Tryptophan metabolism & Metabolism;Xenobiotics biodegradation and metabolism;Benzoate degradation
K08765	carnitine O-palmitoyltransferase 1, liver isoform [EC:2.3.1.21]	1	ko00071	Metabolism;Lipid metabolism;Fatty acid degradation
K19523	carnitine O-palmitoyltransferase 1, muscle isoform [EC:2.3.1.21]	1	ko00071	Metabolism;Lipid metabolism;Fatty acid degradation
K19524	carnitine O-palmitoyltransferase 1, brain isoform [EC:2.3.1.21]	1	ko00071	Metabolism;Lipid metabolism;Fatty acid degradation
K08766	carnitine O-palmitoyltransferase 2 [EC:2.3.1.21]	1	ko00071	Metabolism;Lipid metabolism;Fatty acid degradation
K01909	long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:6.2.1.20]	1	ko00071	Metabolism;Lipid metabolism;Fatty acid degradation
K05939	acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20]	2	ko00071 & ko00564	Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Lipid metabolism;Glycerophospholipid metabolism
K13238	Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]	1	ko00071	Metabolism;Lipid metabolism;Fatty acid degradation
K13239	Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]	1	ko00071	Metabolism;Lipid metabolism;Fatty acid degradation
K07517	Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]	1	ko00071	Metabolism;Lipid metabolism;Fatty acid degradation
K18880	Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]	1	ko00071	Metabolism;Lipid metabolism;Fatty acid degradation
K00496	alkane 1-monooxygenase [EC:1.14.15.3]	2	ko00071 & ko00930	Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Xenobiotics biodegradation and metabolism;Caprolactam degradation
K07422	long-chain fatty acid omega-monooxygenase [EC:1.14.14.80]	2	ko00071 & ko00590	Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Lipid metabolism;Arachidonic acid metabolism
K07425	long-chain fatty acid omega-monooxygenase [EC:1.14.14.80]	3	ko00071 & ko00590 & ko00830	Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Lipid metabolism;Arachidonic acid metabolism & Metabolism;Metabolism of cofactors and vitamins;Retinol metabolism
K15401	long-chain fatty acid omega-monooxygenase [EC:1.14.14.80]	2	ko00071 & ko00073	Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Lipid metabolism;Cutin, suberine and wax biosynthesis
K20495	long-chain fatty acid omega-monooxygenase [EC:1.14.14.80]	2	ko00071 & ko00073	Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Lipid metabolism;Cutin, suberine and wax biosynthesis
K22887	long-chain fatty acid omega-monooxygenase [EC:1.14.14.80]	1	ko00071	Metabolism;Lipid metabolism;Fatty acid degradation
K00529	3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]	2	ko00071 & ko00360	Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Amino acid metabolism;Phenylalanine metabolism
K00530	rubredoxin---NAD(P)+ reductase [EC:1.18.1.4]	1	ko00071	Metabolism;Lipid metabolism;Fatty acid degradation
K05297	rubredoxin---NAD+ reductase [EC:1.18.1.1]	1	ko00071	Metabolism;Lipid metabolism;Fatty acid degradation
K21738	rubredoxin---NAD+ reductase [EC:1.18.1.1]	1	ko00071	Metabolism;Lipid metabolism;Fatty acid degradation
K22567	rubredoxin---NAD+ reductase [EC:1.18.1.1]	1	ko00071	Metabolism;Lipid metabolism;Fatty acid degradation
K14338	cytochrome P450 / NADPH-cytochrome P450 reductase [EC:1.14.14.1 1.6.2.4]	3	ko00071 & ko00380 & ko00627	Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Amino acid metabolism;Tryptophan metabolism & Metabolism;Xenobiotics biodegradation and metabolism;Aminobenzoate degradation
K15398	fatty acid omega-hydroxylase [EC:1.14.-.-]	1	ko00073	Metabolism;Lipid metabolism;Cutin, suberine and wax biosynthesis
K21995	cytochrome P450 family 77 subfamily A [EC:1.14.-.-]	1	ko00073	Metabolism;Lipid metabolism;Cutin, suberine and wax biosynthesis
K15400	omega-hydroxypalmitate O-feruloyl transferase [EC:2.3.1.188]	1	ko00073	Metabolism;Lipid metabolism;Cutin, suberine and wax biosynthesis
K17991	peroxygenase [EC:1.11.2.3]	1	ko00073	Metabolism;Lipid metabolism;Cutin, suberine and wax biosynthesis
K13407	fatty acid omega-hydroxylase [EC:1.14.-.-]	1	ko00073	Metabolism;Lipid metabolism;Cutin, suberine and wax biosynthesis
K20769	fatty acid omega-hydroxylase [EC:1.14.-.-]	1	ko00073	Metabolism;Lipid metabolism;Cutin, suberine and wax biosynthesis
K15402	fatty acid omega-hydroxylase [EC:1.14.-.-]	1	ko00073	Metabolism;Lipid metabolism;Cutin, suberine and wax biosynthesis
K15403	fatty acid omega-hydroxy dehydrogenase [EC:1.1.-.-]	1	ko00073	Metabolism;Lipid metabolism;Cutin, suberine and wax biosynthesis
K15404	aldehyde decarbonylase [EC:4.1.99.5]	1	ko00073	Metabolism;Lipid metabolism;Cutin, suberine and wax biosynthesis
K15405	midchain alkane hydroxylase	1	ko00073	Metabolism;Lipid metabolism;Cutin, suberine and wax biosynthesis
K13356	alcohol-forming fatty acyl-CoA reductase [EC:1.2.1.84]	1	ko00073	Metabolism;Lipid metabolism;Cutin, suberine and wax biosynthesis
K15406	wax-ester synthase / diacylglycerol O-acyltransferase [EC:2.3.1.75 2.3.1.20]	1	ko00073	Metabolism;Lipid metabolism;Cutin, suberine and wax biosynthesis
K27538	diacylglycerol/phytol O-acyltransferase [EC:2.3.1.20 2.3.1.314]	2	ko00073 & ko00561	Metabolism;Lipid metabolism;Cutin, suberine and wax biosynthesis & Metabolism;Lipid metabolism;Glycerolipid metabolism
K00801	farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]	2	ko00100 & ko00909	Metabolism;Lipid metabolism;Steroid biosynthesis & Metabolism;Metabolism of terpenoids and polyketides;Sesquiterpenoid and triterpenoid biosynthesis
K00511	squalene monooxygenase [EC:1.14.14.17]	2	ko00100 & ko00909	Metabolism;Lipid metabolism;Steroid biosynthesis & Metabolism;Metabolism of terpenoids and polyketides;Sesquiterpenoid and triterpenoid biosynthesis
K23485	alternative squalene epoxidase [EC:1.14.19.-]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K01852	lanosterol synthase [EC:5.4.99.7]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K05917	sterol 14alpha-demethylase [EC:1.14.14.154 1.14.15.36]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K00222	Delta14-sterol reductase [EC:1.3.1.70]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K19532	Delta14-sterol reductase (lamin-B receptor) [EC:1.3.1.70]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K07750	methylsterol monooxygenase [EC:1.14.18.9]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K07748	sterol-4alpha-carboxylate 3-dehydrogenase (decarboxylating) [EC:1.1.1.170]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K09827	3-keto steroid reductase [EC:1.1.1.270]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K13373	17beta-estradiol 17-dehydrogenase / 3beta-hydroxysteroid 3-dehydrogenase [EC:1.1.1.62 1.1.1.270]	2	ko00100 & ko00140	Metabolism;Lipid metabolism;Steroid biosynthesis & Metabolism;Lipid metabolism;Steroid hormone biosynthesis
K01824	cholestenol Delta-isomerase [EC:5.3.3.5]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K09828	Delta24-sterol reductase [EC:1.3.1.72 1.3.1.-]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K00227	Delta7-sterol 5-desaturase [EC:1.14.19.20]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K00213	7-dehydrocholesterol reductase [EC:1.3.1.21]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K01052	lysosomal acid lipase/cholesteryl ester hydrolase [EC:3.1.1.13]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K12298	bile salt-stimulated lipase [EC:3.1.1.3 3.1.1.13]	2	ko00100 & ko00561	Metabolism;Lipid metabolism;Steroid biosynthesis & Metabolism;Lipid metabolism;Glycerolipid metabolism
K14674	TAG lipase / steryl ester hydrolase / phospholipase A2 / LPA acyltransferase [EC:3.1.1.3 3.1.1.13 3.1.1.4 2.3.1.51]	7	ko00100 & ko00561 & ko00564 & ko00565 & ko00590 & ko00591 & ko00592	Metabolism;Lipid metabolism;Steroid biosynthesis & Metabolism;Lipid metabolism;Glycerolipid metabolism & Metabolism;Lipid metabolism;Glycerophospholipid metabolism & Metabolism;Lipid metabolism;Ether lipid metabolism & Metabolism;Lipid metabolism;Arachidonic acid metabolism & Metabolism;Lipid metabolism;Linoleic acid metabolism & Metabolism;Lipid metabolism;alpha-Linolenic acid metabolism
K00637	sterol O-acyltransferase [EC:2.3.1.26]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K07419	vitamin D 25-hydroxylase [EC:1.14.14.24]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K07438	calcidiol 1-monooxygenase (25-hydroxyvitamin D3 1alpha-hydroxylase) [EC:1.14.15.18]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K21146	vitamin D 1,25-hydroxylase [EC:1.14.15.22]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K07436	vitamin D3 24-hydroxylase [EC:1.14.15.16]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K00559	sterol 24-C-methyltransferase [EC:2.1.1.41]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K09829	C-8 sterol isomerase [EC:5.-.-.-]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K09831	sterol 22-desaturase [EC:1.14.19.41]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K00223	Delta24(24(1))-sterol reductase [EC:1.3.1.71]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K01853	cycloartenol synthase [EC:5.4.99.8]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K14423	plant 4,4-dimethylsterol C-4alpha-methyl-monooxygenase [EC:1.14.18.10]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K23558	plant 3beta-hydroxysteroid-4alpha-carboxylate 3-dehydrogenase [EC:1.1.1.418]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K08246	cycloeucalenol cycloisomerase [EC:5.5.1.9]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K08242	24-methylenesterol C-methyltransferase [EC:2.1.1.143]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K14424	plant 4alpha-monomethylsterol monooxygenase [EC:1.14.18.11]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K09832	sterol 22-desaturase [EC:1.14.19.41]	1	ko00100	Metabolism;Lipid metabolism;Steroid biosynthesis
K07440	cholesterol 24-hydroxylase [EC:1.14.14.25]	1	ko00120	Metabolism;Lipid metabolism;Primary bile acid biosynthesis
K07439	24-hydroxycholesterol 7alpha-hydroxylase [EC:1.14.14.26]	1	ko00120	Metabolism;Lipid metabolism;Primary bile acid biosynthesis
K12408	cholest-5-ene-3beta,7alpha-diol 3beta-dehydrogenase [EC:1.1.1.181]	1	ko00120	Metabolism;Lipid metabolism;Primary bile acid biosynthesis
K10223	cholesterol 25-hydroxylase [EC:1.14.99.38]	1	ko00120	Metabolism;Lipid metabolism;Primary bile acid biosynthesis
K07430	25/26-hydroxycholesterol 7alpha-hydroxylase [EC:1.14.14.29]	2	ko00120 & ko00140	Metabolism;Lipid metabolism;Primary bile acid biosynthesis & Metabolism;Lipid metabolism;Steroid hormone biosynthesis
K00489	cholesterol 7alpha-monooxygenase [EC:1.14.14.23]	2	ko00120 & ko00140	Metabolism;Lipid metabolism;Primary bile acid biosynthesis & Metabolism;Lipid metabolism;Steroid hormone biosynthesis
K00488	cholestanetriol 26-monooxygenase [EC:1.14.15.15]	1	ko00120	Metabolism;Lipid metabolism;Primary bile acid biosynthesis
K07431	sterol 12-alpha-hydroxylase [EC:1.14.14.139]	1	ko00120	Metabolism;Lipid metabolism;Primary bile acid biosynthesis
K00251	3-oxo-5-beta-steroid 4-dehydrogenase [EC:1.3.1.3]	2	ko00120 & ko00140	Metabolism;Lipid metabolism;Primary bile acid biosynthesis & Metabolism;Lipid metabolism;Steroid hormone biosynthesis
K00037	3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase [EC:1.1.1.50 1.1.1.357 1.1.1.225]	2	ko00120 & ko00140	Metabolism;Lipid metabolism;Primary bile acid biosynthesis & Metabolism;Lipid metabolism;Steroid hormone biosynthesis
K08748	solute carrier family 27 (fatty acid transporter), member 5 [EC:6.2.1.7]	1	ko00120	Metabolism;Lipid metabolism;Primary bile acid biosynthesis
K01796	alpha-methylacyl-CoA racemase [EC:5.1.99.4]	1	ko00120	Metabolism;Lipid metabolism;Primary bile acid biosynthesis
K10214	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA 24-hydroxylase [EC:1.17.99.3]	1	ko00120	Metabolism;Lipid metabolism;Primary bile acid biosynthesis
K12405	(3R)-3-hydroxyacyl-CoA dehydrogenase / 3a,7a,12a-trihydroxy-5b-cholest-24-enoyl-CoA hydratase / enoyl-CoA hydratase 2 [EC:1.1.1.- 4.2.1.107 4.2.1.119]	2	ko00120 & ko01040	Metabolism;Lipid metabolism;Primary bile acid biosynthesis & Metabolism;Lipid metabolism;Biosynthesis of unsaturated fatty acids
K08764	sterol carrier protein 2 [EC:2.3.1.176]	2	ko00120 & ko01040	Metabolism;Lipid metabolism;Primary bile acid biosynthesis & Metabolism;Lipid metabolism;Biosynthesis of unsaturated fatty acids
K11992	acyl-CoA thioesterase 8 [EC:3.1.2.27]	1	ko00120	Metabolism;Lipid metabolism;Primary bile acid biosynthesis
K00659	bile acid-CoA:amino acid N-acyltransferase [EC:2.3.1.65 3.1.2.2]	3	ko00120 & ko01040 & ko00430	Metabolism;Lipid metabolism;Primary bile acid biosynthesis & Metabolism;Lipid metabolism;Biosynthesis of unsaturated fatty acids & Metabolism;Metabolism of other amino acids;Taurine and hypotaurine metabolism
K01442	choloylglycine hydrolase [EC:3.5.1.24]	2	ko00120 & ko00121	Metabolism;Lipid metabolism;Primary bile acid biosynthesis & Metabolism;Lipid metabolism;Secondary bile acid biosynthesis
K00076	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	1	ko00121	Metabolism;Lipid metabolism;Secondary bile acid biosynthesis
K23231	7beta-hydroxysteroid dehydrogenase (NADP+) [EC:1.1.1.201]	1	ko00121	Metabolism;Lipid metabolism;Secondary bile acid biosynthesis
K22604	3alpha-hydroxycholanate dehydrogenase (NAD+) [EC:1.1.1.52]	1	ko00121	Metabolism;Lipid metabolism;Secondary bile acid biosynthesis
K22605	3alpha-hydroxycholanate dehydrogenase (NADP+) [EC:1.1.1.392]	1	ko00121	Metabolism;Lipid metabolism;Secondary bile acid biosynthesis
K22606	3beta-hydroxycholanate 3-dehydrogenase (NAD+) [EC:1.1.1.391]	1	ko00121	Metabolism;Lipid metabolism;Secondary bile acid biosynthesis
K22607	3beta-hydroxycholanate 3-dehydrogenase (NADP+) [EC:1.1.1.393]	1	ko00121	Metabolism;Lipid metabolism;Secondary bile acid biosynthesis
K15868	bile acid-coenzyme A ligase [EC:6.2.1.7]	1	ko00121	Metabolism;Lipid metabolism;Secondary bile acid biosynthesis
K15871	bile acid CoA-transferase [EC:2.8.3.25]	1	ko00121	Metabolism;Lipid metabolism;Secondary bile acid biosynthesis
K15869	3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase [EC:1.1.1.395]	1	ko00121	Metabolism;Lipid metabolism;Secondary bile acid biosynthesis
K15870	3-oxocholoyl-CoA 4-desaturase [EC:1.3.1.115]	1	ko00121	Metabolism;Lipid metabolism;Secondary bile acid biosynthesis
K15872	bile-acid 7alpha-dehydratase [EC:4.2.1.106]	1	ko00121	Metabolism;Lipid metabolism;Secondary bile acid biosynthesis
K15873	7beta-hydroxy-3-oxochol-24-oyl-CoA 4-desaturase [EC:1.3.1.116]	1	ko00121	Metabolism;Lipid metabolism;Secondary bile acid biosynthesis
K15874	bile acid 7beta-dehydratase	1	ko00121	Metabolism;Lipid metabolism;Secondary bile acid biosynthesis
K07007	3-dehydro-bile acid Delta4,6-reductase [EC:1.3.1.114]	1	ko00121	Metabolism;Lipid metabolism;Secondary bile acid biosynthesis
K00498	cholesterol monooxygenase (side-chain-cleaving) [EC:1.14.15.6]	1	ko00140	Metabolism;Lipid metabolism;Steroid hormone biosynthesis
K00512	steroid 17alpha-monooxygenase / 17alpha-hydroxyprogesterone deacetylase [EC:1.14.14.19 1.14.14.32]	1	ko00140	Metabolism;Lipid metabolism;Steroid hormone biosynthesis
K01131	steryl-sulfatase [EC:3.1.6.2]	1	ko00140	Metabolism;Lipid metabolism;Steroid hormone biosynthesis
K01015	alcohol sulfotransferase [EC:2.8.2.2]	1	ko00140	Metabolism;Lipid metabolism;Steroid hormone biosynthesis
K00513	steroid 21-monooxygenase [EC:1.14.14.16]	1	ko00140	Metabolism;Lipid metabolism;Steroid hormone biosynthesis
K00070	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]	1	ko00140	Metabolism;Lipid metabolism;Steroid hormone biosynthesis
K12343	3-oxo-5-alpha-steroid 4-dehydrogenase 1 [EC:1.3.1.22]	1	ko00140	Metabolism;Lipid metabolism;Steroid hormone biosynthesis
K12344	3-oxo-5-alpha-steroid 4-dehydrogenase 2 [EC:1.3.1.22]	1	ko00140	Metabolism;Lipid metabolism;Steroid hormone biosynthesis
K12345	3-oxo-5-alpha-steroid 4-dehydrogenase 3 / polyprenol reductase [EC:1.3.1.22 1.3.1.94]	2	ko00140 & ko00510	Metabolism;Lipid metabolism;Steroid hormone biosynthesis & Metabolism;Glycan biosynthesis and metabolism;N-Glycan biosynthesis
