classification	db_link	observation_name	observation_sum	BHT0.LOT01	BHT0.LOT03	BHT0.LOT04	BHT0.LOT05	BHT0.LOT06	BHT0.LOT07	BHT0.LOT08	BHT0.LOT10	CDT0.LOT02	CDT0.LOT04	CDT0.LOT05	CDT0.LOT06	CDT0.LOT07	CDT0.LOT08	CDT0.LOT09	CDT0.LOT10	DLT0.LOT01	DLT0.LOT03	DLT0.LOT04	DLT0.LOT05	DLT0.LOT06	DLT0.LOT07	DLT0.LOT08	DLT0.LOT10	FCT0.LOT01	FCT0.LOT02	FCT0.LOT03	FCT0.LOT05	FCT0.LOT06	FCT0.LOT07	FCT0.LOT08	FCT0.LOT10	FST0.LOT01	FST0.LOT02	FST0.LOT03	FST0.LOT05	FST0.LOT06	FST0.LOT07	FST0.LOT08	FST0.LOT10	MVT0.LOT01	MVT0.LOT03	MVT0.LOT05	MVT0.LOT06	MVT0.LOT07	MVT0.LOT08	MVT0.LOT09	MVT0.LOT10	SFT0.LOT01	SFT0.LOT02	SFT0.LOT03	SFT0.LOT04	SFT0.LOT05	SFT0.LOT06	SFT0.LOT07	SFT0.LOT08	VHT0.LOT01	VHT0.LOT02	VHT0.LOT03	VHT0.LOT04	VHT0.LOT06	VHT0.LOT07	VHT0.LOT08	VHT0.LOT10
Oxidoreductases;Acting on the CH-CH group of donors;With NAD+ or NADP+ as acceptor;Enoyl-[acyl-carrier-protein] reductase (NADH)	https://www.genome.jp/dbget-bin/www_bget?EC:1.3.1.9	EC:1.3.1.9	223114.69999999998	4638.67	2451.67	2789.83	4626.5	4952.67	3878.83	3339.83	4133.5	3759.67	574.8	1696.17	766.6299999999999	5653.2	2205.83	1951.9	3582.5	6021.0	6449.5	850.67	4614.67	4336.33	2011.67	5313.17	2999.33	4901.67	433.83	3033.17	2462.17	796.0	2776.5	4179.67	255.5	4750.67	2846.67	2699.67	2632.17	3211.0	5610.83	4790.67	3951.83	3427.17	3508.67	1195.83	2173.0	1015.5	1662.0	4983.0	6771.0	1325.33	4629.0	4332.17	4925.17	5518.83	760.83	1926.0	1270.33	7145.17	4339.17	3119.17	4695.4	3165.9	6326.5	7418.5	4550.5
Oxidoreductases;Acting on the CH-CH group of donors;With NAD+ or NADP+ as acceptor;UDP-N-acetylmuramate dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.3.1.98	EC:1.3.1.98	218926.69999999998	4638.67	2451.67	2789.83	4610.5	4946.67	3878.83	3337.83	4133.5	3759.67	573.8	1690.17	757.6299999999999	5653.2	2205.83	1950.9	3582.5	6021.0	6446.5	849.67	4612.67	4299.33	1941.67	5313.17	2999.33	2906.67	432.83	3033.17	2450.17	753.0	2735.5	2734.67	246.5	4738.67	2736.67	2643.67	2552.17	3195.0	5530.83	4735.67	3940.83	3421.17	3505.67	1191.83	2169.0	1006.5	1654.0	4982.0	6767.0	1325.33	4629.0	4332.17	4918.17	5514.83	760.83	1926.0	1270.33	7141.17	4339.17	3119.17	4691.4	3162.9	6323.5	7414.5	4550.5
Oxidoreductases;Acting on the CH-CH group of donors;With oxygen as acceptor;Coproporphyrinogen oxidase	https://www.genome.jp/dbget-bin/www_bget?EC:1.3.3.3	EC:1.3.3.3	9410.2	3.67	0.67	3.83	19.0	9.17	3.33	6.83	0.5	0.17	1.0	6.17	9.33	0.0	0.33	1.0	0.0	0.0	3.0	2.17	2.67	37.83	71.17	0.67	0.83	2005.67	136.83	48.17	83.17	47.5	44.0	1530.17	81.0	15.67	139.67000000000002	85.67	105.67	486.0	85.83	56.67	17.83	6.67	3.67	6.83	5.5	322.5	11.0	1.5	4.0	1115.83	31.0	264.17	28.17	42.33	741.83	985.0	664.83	5.67	0.67	1.17	4.0	3.0	3.0	4.0	1.0
Oxidoreductases;Acting on the CH-CH group of donors;With oxygen as acceptor;Protoporphyrinogen oxidase	https://www.genome.jp/dbget-bin/www_bget?EC:1.3.3.4	EC:1.3.3.4	129399.0	1083.0	2904.0	959.0	1565.0	1592.0	889.0	1027.0	2793.0	64.0	87.0	621.0	726.0	32.0	896.0	19.0	184.0	6056.0	6441.0	846.0	4608.0	4233.0	2099.0	5325.0	2941.0	799.0	160.0	32.0	167.0	620.0	206.0	1157.0	106.0	7561.0	1363.0	1544.0	1489.0	2797.0	7042.0	6862.0	6491.0	212.0	528.0	813.0	1747.0	568.0	425.0	256.0	30.0	48.0	1167.0	2399.0	806.0	840.0	5.0	62.0	403.0	6614.0	3107.0	1212.0	3808.0	2028.0	6002.0	6747.0	3186.0
Oxidoreductases;Acting on the CH-CH group of donors;With a quinone or related compound as acceptor;Succinate dehydrogenase (quinone)	https://www.genome.jp/dbget-bin/www_bget?EC:1.3.5.1	EC:1.3.5.1	123192.40000000001	591.34	5005.34	1059.66	1346.0	738.34	478.66	1185.66	345.0	2532.34	396.0	1877.34	992.66	5627.0	125.66	1926.0	3747.0	196.0	110.0	424.34	597.34	351.66	1862.34	169.34	1149.66	4011.34	365.66	148.34	398.34	267.0	332.0	3316.34	310.0	13091.34	2891.34	3063.34	2915.34	6192.0	9307.66	12385.34	12543.66	297.34	871.34	1525.66	3395.0	1485.0	782.0	491.0	60.0	2243.66	754.0	664.34	476.34	428.66	1487.66	2026.0	1393.66	23.34	25.34	218.34	32.0	42.0	42.0	20.0	34.0
Oxidoreductases;Acting on the CH-CH group of donors;With a quinone or related compound as acceptor;Dihydroorotate dehydrogenase (quinone)	https://www.genome.jp/dbget-bin/www_bget?EC:1.3.5.2	EC:1.3.5.2	9410.2	3.67	0.67	3.83	19.0	9.17	3.33	6.83	0.5	0.17	1.0	6.17	9.33	0.0	0.33	1.0	0.0	0.0	3.0	2.17	2.67	37.83	71.17	0.67	0.83	2005.67	136.83	48.17	83.17	47.5	44.0	1530.17	81.0	15.67	139.67000000000002	85.67	105.67	486.0	85.83	56.67	17.83	6.67	3.67	6.83	5.5	322.5	11.0	1.5	4.0	1115.83	31.0	264.17	28.17	42.33	741.83	985.0	664.83	5.67	0.67	1.17	4.0	3.0	3.0	4.0	1.0
Oxidoreductases;Acting on the CH-CH group of donors;With a quinone or related compound as acceptor;Protoporphyrinogen IX dehydrogenase (menaquinone)	https://www.genome.jp/dbget-bin/www_bget?EC:1.3.5.3	EC:1.3.5.3	5222.2	3.67	0.67	3.83	3.0	3.17	3.33	4.83	0.5	0.17	0.0	0.17	0.33	0.0	0.33	0.0	0.0	0.0	0.0	1.17	0.67	0.83	1.17	0.67	0.83	10.67	135.83	48.17	71.17	4.5	3.0	85.17	72.0	3.67	29.67	29.67	25.67	470.0	5.83	1.67	6.83	0.67	0.67	2.83	1.5	313.5	3.0	0.5	0.0	1115.83	31.0	264.17	21.17	38.33	741.83	985.0	664.83	1.67	0.67	1.17	0.0	0.0	0.0	0.0	1.0
Oxidoreductases;Acting on the CH-CH group of donors;With a quinone or related compound as acceptor;Fumarate reductase (quinol)	https://www.genome.jp/dbget-bin/www_bget?EC:1.3.5.4	EC:1.3.5.4	163063.80000000002	3033.68	5626.18	2464.82	3588.0	3377.68	2703.82	3201.32	1017.0	2538.68	469.5	1904.68	1005.82	5635.5	206.82	1929.0	3750.0	196.0	134.5	430.68	606.18	362.82	1888.68	173.68	1325.32	4132.68	658.82	3177.68	2777.6800000000007	289.0	2815.0	3498.18	456.5	13292.18	3081.68	3229.68	3083.68	7193.0	9671.32	12486.18	12594.32	336.68	897.18	1568.82	3409.0	2117.5	832.5	509.0	74.0	4518.32	1307.0	1514.68	1261.68	957.32	2974.32	4080.0	2771.32	234.68	661.18	1125.68	251.5	751.0	156.0	355.5	391.0
Oxidoreductases;Acting on the CH-CH group of donors;With a flavin as acceptor;Short-chain acyl-CoA dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.3.8.1	EC:1.3.8.1	15272.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2532.0	374.0	1149.0	126.0	5607.0	121.0	1924.0	3439.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Oxidoreductases;Acting on the CH-CH group of donors;With a flavin as acceptor;Glutaryl-CoA dehydrogenase (ETF)	https://www.genome.jp/dbget-bin/www_bget?EC:1.3.8.6	EC:1.3.8.6	4188.0	0.0	0.0	0.0	16.0	6.0	0.0	2.0	0.0	0.0	1.0	6.0	9.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0	2.0	37.0	70.0	0.0	0.0	1995.0	1.0	0.0	12.0	43.0	41.0	1445.0	9.0	12.0	110.0	56.0	80.0	16.0	80.0	55.0	11.0	6.0	3.0	4.0	4.0	9.0	8.0	1.0	4.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	3.0	3.0	4.0	0.0
Oxidoreductases;Acting on the CH-CH group of donors;With other, known, physiological acceptors;Dihydroorotate oxidase (fumarate)	https://www.genome.jp/dbget-bin/www_bget?EC:1.3.98.1	EC:1.3.98.1	109395.5	3844.0	2049.0	2353.0	3680.5	3705.5	3222.5	2890.0	1512.0	1163.5	121.8	272.0	320.3	24.2	1190.5	6.9	113.5	63.0	54.5	211.5	298.0	166.5	631.5	71.5	631.5	102.0	182.0	2979.0	2316.0	171.5	2607.5	175.5	133.5	3692.0	2540.0	2460.0	2309.5	2522.0	2971.0	3953.0	3686.0	3344.5	3406.0	1128.0	2108.5	536.0	1598.0	4968.5	6759.0	167.5	3777.0	1737.0	4294.0	4804.5	16.0	907.0	234.5	527.5	1243.5	2014.0	891.4	1149.9	336.5	669.5	1379.5
Oxidoreductases;Acting on the CH-CH group of donors;With NA physiological acceptors;All-trans-zeta-carotene desaturase	https://www.genome.jp/dbget-bin/www_bget?EC:1.3.99.26	EC:1.3.99.26	4188.0	0.0	0.0	0.0	16.0	6.0	0.0	2.0	0.0	0.0	1.0	6.0	9.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0	2.0	37.0	70.0	0.0	0.0	1995.0	1.0	0.0	12.0	43.0	41.0	1445.0	9.0	12.0	110.0	56.0	80.0	16.0	80.0	55.0	11.0	6.0	3.0	4.0	4.0	9.0	8.0	1.0	4.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	3.0	3.0	4.0	0.0
Oxidoreductases;Acting on the CH-CH group of donors;With NA physiological acceptors;Phytoene desaturase (neurosporene-forming)	https://www.genome.jp/dbget-bin/www_bget?EC:1.3.99.28	EC:1.3.99.28	4188.0	0.0	0.0	0.0	16.0	6.0	0.0	2.0	0.0	0.0	1.0	6.0	9.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0	2.0	37.0	70.0	0.0	0.0	1995.0	1.0	0.0	12.0	43.0	41.0	1445.0	9.0	12.0	110.0	56.0	80.0	16.0	80.0	55.0	11.0	6.0	3.0	4.0	4.0	9.0	8.0	1.0	4.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	3.0	3.0	4.0	0.0
Oxidoreductases;Acting on the CH-CH group of donors;With NA physiological acceptors;Phytoene desaturase (zeta-carotene-forming)	https://www.genome.jp/dbget-bin/www_bget?EC:1.3.99.29	EC:1.3.99.29	4188.0	0.0	0.0	0.0	16.0	6.0	0.0	2.0	0.0	0.0	1.0	6.0	9.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0	2.0	37.0	70.0	0.0	0.0	1995.0	1.0	0.0	12.0	43.0	41.0	1445.0	9.0	12.0	110.0	56.0	80.0	16.0	80.0	55.0	11.0	6.0	3.0	4.0	4.0	9.0	8.0	1.0	4.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	3.0	3.0	4.0	0.0
Oxidoreductases;Acting on the CH-CH group of donors;With NA physiological acceptors;Phytoene desaturase (lycopene-forming)	https://www.genome.jp/dbget-bin/www_bget?EC:1.3.99.31	EC:1.3.99.31	4188.0	0.0	0.0	0.0	16.0	6.0	0.0	2.0	0.0	0.0	1.0	6.0	9.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0	2.0	37.0	70.0	0.0	0.0	1995.0	1.0	0.0	12.0	43.0	41.0	1445.0	9.0	12.0	110.0	56.0	80.0	16.0	80.0	55.0	11.0	6.0	3.0	4.0	4.0	9.0	8.0	1.0	4.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	3.0	3.0	4.0	0.0
Oxidoreductases;Acting on the CH-NH2 group of donors;With NAD+ or NADP+ as acceptor;Alanine dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.4.1.1	EC:1.4.1.1	172597.40000000002	1171.34	2954.84	1043.16	1618.0	1718.34	897.16	1115.66	2830.0	64.34	297.5	633.3399999999998	755.1600000000002	33.5	952.16	27.0	184.0	6056.0	6454.5	850.34	4614.84	4310.16	2253.34	5335.34	2951.66	5101.34	435.16	8927.34	7038.34	718.0	7710.0	4221.84	275.5	7695.84	1642.34	1718.34	1703.34	3784.0	7282.66	6994.84	6532.66	237.34	539.84	837.16	1770.0	1217.5	475.5	274.0	65.0	2279.66	1229.0	2927.34	865.34	924.66	1488.66	2032.0	1732.66	6625.34	3112.84	1241.34	3832.5	2034.0	6008.0	6756.5	3188.0
Oxidoreductases;Acting on the CH-NH2 group of donors;With NAD+ or NADP+ as acceptor;Glutamate synthase (NADPH)	https://www.genome.jp/dbget-bin/www_bget?EC:1.4.1.13	EC:1.4.1.13	127500.80000000002	5122.68	3710.68	3285.32	5144.0	5572.68	4685.32	4569.32	1492.0	2544.68	393.0	1567.68	578.3199999999998	5633.0	248.32	1927.0	3599.0	98.0	99.0	223.68	314.68	196.32	974.68	86.68	919.32	2043.68	632.32	218.68	416.68	171.0	185.0	1933.68	371.0	6874.68	1796.68	1832.68	1766.68	4618.0	5329.32	6379.68	6362.32	218.68	483.68	839.32	1716.0	1691.0	470.0	271.0	40.0	4555.32	1452.0	1768.68	1785.68	1233.32	2975.32	4136.0	2787.32	432.68	1280.68	1904.68	444.0	1439.0	249.0	680.0	730.0
Oxidoreductases;Acting on the CH-NH2 group of donors;With NAD+ or NADP+ as acceptor;Glutamate synthase (NADH)	https://www.genome.jp/dbget-bin/www_bget?EC:1.4.1.14	EC:1.4.1.14	127500.80000000002	5122.68	3710.68	3285.32	5144.0	5572.68	4685.32	4569.32	1492.0	2544.68	393.0	1567.68	578.3199999999998	5633.0	248.32	1927.0	3599.0	98.0	99.0	223.68	314.68	196.32	974.68	86.68	919.32	2043.68	632.32	218.68	416.68	171.0	185.0	1933.68	371.0	6874.68	1796.68	1832.68	1766.68	4618.0	5329.32	6379.68	6362.32	218.68	483.68	839.32	1716.0	1691.0	470.0	271.0	40.0	4555.32	1452.0	1768.68	1785.68	1233.32	2975.32	4136.0	2787.32	432.68	1280.68	1904.68	444.0	1439.0	249.0	680.0	730.0
Oxidoreductases;Acting on the CH-NH2 group of donors;With NAD+ or NADP+ as acceptor;Glutamate dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.4.1.2	EC:1.4.1.2	27497.2	149.67	1251.67	266.83	330.0	183.17	121.33	297.83	86.5	0.17	5.0	179.17	212.33	5.0	1.33	0.0	77.0	49.0	26.0	106.17	148.67	69.83	431.17	42.67	287.83	10.67	158.83	61.17	129.17000000000002	47.5	64.0	149.17000000000004	109.0	3268.67	682.67	752.67	701.67	1775.0	2289.83	3069.67	3133.83	71.67	216.67	380.83	847.5	523.5	193.0	122.5	13.0	1118.83	204.0	298.17	126.17	124.33	742.83	999.0	680.83	4.67	6.67	55.17	6.0	9.0	9.0	3.0	9.0
Oxidoreductases;Acting on the CH-NH2 group of donors;With NAD+ or NADP+ as acceptor;Glutamate dehydrogenase (NAD(P)(+))	https://www.genome.jp/dbget-bin/www_bget?EC:1.4.1.3	EC:1.4.1.3	4188.0	0.0	0.0	0.0	16.0	6.0	0.0	2.0	0.0	0.0	1.0	6.0	9.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0	2.0	37.0	70.0	0.0	0.0	1995.0	1.0	0.0	12.0	43.0	41.0	1445.0	9.0	12.0	110.0	56.0	80.0	16.0	80.0	55.0	11.0	6.0	3.0	4.0	4.0	9.0	8.0	1.0	4.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	3.0	3.0	4.0	0.0
Oxidoreductases;Acting on the CH-NH2 group of donors;With NAD+ or NADP+ as acceptor;Glutamate dehydrogenase (NADP(+))	https://www.genome.jp/dbget-bin/www_bget?EC:1.4.1.4	EC:1.4.1.4	147885.0	3345.0	2256.0	2068.0	3485.0	4015.0	2989.0	2717.0	3366.0	2602.0	461.0	1624.0	658.0	5642.0	1078.0	1945.0	3549.0	6007.0	6440.0	746.0	4469.0	4210.0	1759.0	5283.0	2825.0	2797.0	159.0	19.0	123.0	632.0	191.0	2548.0	78.0	4467.0	951.0	983.0	1009.0	1564.0	5167.0	3940.0	3410.0	181.0	338.0	473.0	912.0	371.0	278.0	147.0	26.0	88.0	1485.0	2687.0	1450.0	1210.0	7.0	132.0	435.0	6823.0	3734.0	2054.0	4020.0	2731.0	6110.0	7083.0	3533.0
Oxidoreductases;Acting on the CH-NH2 group of donors;With NAD+ or NADP+ as acceptor;Leucine dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.4.1.9	EC:1.4.1.9	89037.0	791.0	402.0	433.0	927.0	1238.0	653.0	443.0	2621.0	64.0	78.0	269.0	311.0	22.0	894.0	20.0	30.0	5958.0	6392.0	637.0	4314.0	4132.0	1309.0	5241.0	2367.0	2794.0	115.0	6.0	63.0	577.0	125.0	2474.0	41.0	1043.0	167.0	154.0	217.0	203.0	2554.0	781.0	248.0	76.0	99.0	61.0	59.0	157.0	53.0	13.0	8.0	42.0	821.0	2331.0	603.0	672.0	3.0	34.0	371.0	6612.0	3095.0	1104.0	3800.0	2013.0	5987.0	6745.0	3170.0
Oxidoreductases;Acting on the CH-NH2 group of donors;With oxygen as acceptor;L-aspartate oxidase	https://www.genome.jp/dbget-bin/www_bget?EC:1.4.3.16	EC:1.4.3.16	24682.2	3.67	0.67	3.83	19.0	9.17	3.33	6.83	0.5	2532.17	375.0	1155.17	135.33	5607.0	121.33	1925.0	3439.0	0.0	3.0	2.17	2.67	37.83	71.17	0.67	0.83	2005.67	136.83	48.17	83.17	47.5	44.0	1530.17	81.0	15.67	139.67000000000002	85.67	105.67	486.0	85.83	56.67	17.83	6.67	3.67	6.83	5.5	322.5	11.0	1.5	4.0	1115.83	31.0	264.17	28.17	42.33	741.83	985.0	664.83	5.67	0.67	1.17	4.0	3.0	3.0	4.0	1.0
Oxidoreductases;Acting on the CH-NH2 group of donors;With oxygen as acceptor;Glycine oxidase	https://www.genome.jp/dbget-bin/www_bget?EC:1.4.3.19	EC:1.4.3.19	22275.0	146.0	1251.0	263.0	327.0	180.0	118.0	293.0	86.0	0.0	5.0	179.0	212.0	5.0	1.0	0.0	77.0	49.0	26.0	105.0	148.0	69.0	430.0	42.0	287.0	0.0	23.0	13.0	58.0	43.0	61.0	64.0	37.0	3265.0	653.0	723.0	676.0	1305.0	2284.0	3068.0	3127.0	71.0	216.0	378.0	846.0	210.0	190.0	122.0	13.0	3.0	173.0	34.0	105.0	86.0	1.0	14.0	16.0	3.0	6.0	54.0	6.0	9.0	9.0	3.0	8.0
Oxidoreductases;Acting on the CH-NH2 group of donors;With oxygen as acceptor;Primary-amine oxidase	https://www.genome.jp/dbget-bin/www_bget?EC:1.4.3.21	EC:1.4.3.21	5222.2	3.67	0.67	3.83	3.0	3.17	3.33	4.83	0.5	0.17	0.0	0.17	0.33	0.0	0.33	0.0	0.0	0.0	0.0	1.17	0.67	0.83	1.17	0.67	0.83	10.67	135.83	48.17	71.17	4.5	3.0	85.17	72.0	3.67	29.67	29.67	25.67	470.0	5.83	1.67	6.83	0.67	0.67	2.83	1.5	313.5	3.0	0.5	0.0	1115.83	31.0	264.17	21.17	38.33	741.83	985.0	664.83	1.67	0.67	1.17	0.0	0.0	0.0	0.0	1.0
Oxidoreductases;Acting on the CH-NH2 group of donors;With oxygen as acceptor;Monoamine oxidase	https://www.genome.jp/dbget-bin/www_bget?EC:1.4.3.4	EC:1.4.3.4	22275.0	146.0	1251.0	263.0	327.0	180.0	118.0	293.0	86.0	0.0	5.0	179.0	212.0	5.0	1.0	0.0	77.0	49.0	26.0	105.0	148.0	69.0	430.0	42.0	287.0	0.0	23.0	13.0	58.0	43.0	61.0	64.0	37.0	3265.0	653.0	723.0	676.0	1305.0	2284.0	3068.0	3127.0	71.0	216.0	378.0	846.0	210.0	190.0	122.0	13.0	3.0	173.0	34.0	105.0	86.0	1.0	14.0	16.0	3.0	6.0	54.0	6.0	9.0	9.0	3.0	8.0
Oxidoreductases;Acting on the CH-NH2 group of donors;With oxygen as acceptor;Pyridoxal 5'-phosphate synthase	https://www.genome.jp/dbget-bin/www_bget?EC:1.4.3.5	EC:1.4.3.5	9410.2	3.67	0.67	3.83	19.0	9.17	3.33	6.83	0.5	0.17	1.0	6.17	9.33	0.0	0.33	1.0	0.0	0.0	3.0	2.17	2.67	37.83	71.17	0.67	0.83	2005.67	136.83	48.17	83.17	47.5	44.0	1530.17	81.0	15.67	139.67000000000002	85.67	105.67	486.0	85.83	56.67	17.83	6.67	3.67	6.83	5.5	322.5	11.0	1.5	4.0	1115.83	31.0	264.17	28.17	42.33	741.83	985.0	664.83	5.67	0.67	1.17	4.0	3.0	3.0	4.0	1.0
Oxidoreductases;Acting on the CH-NH2 group of donors;With a disulfide as acceptor;Glycine dehydrogenase (aminomethyl-transferring)	https://www.genome.jp/dbget-bin/www_bget?EC:1.4.4.2	EC:1.4.4.2	231927.19999999998	1731.67	2055.67	1132.83	2168.0	2653.17	1427.33	1181.83	5328.5	5192.17	908.0	3009.17	1077.33	11263.0	2031.33	3887.0	7015.0	11965.0	12807.0	1379.17	8774.67	8296.83	2979.17	10524.67	5021.83	3603.67	387.83	73.17	243.17	1158.5	273.0	3652.17	182.0	5342.67	906.67	1004.67	1055.67	2165.0	7317.83	4576.67	3618.83	217.67	411.67	498.83	961.5	828.5	291.0	147.5	25.0	1202.83	1846.0	4960.17	1325.17	1464.33	748.83	1067.0	1422.83	13224.67	6196.67	2263.17	7602.0	4032.0	11980.0	13489.0	6349.0
Oxidoreductases;Acting on the CH-NH2 group of donors;With an iron-sulfur protein as acceptor;Glutamate synthase (ferredoxin)	https://www.genome.jp/dbget-bin/www_bget?EC:1.4.7.1	EC:1.4.7.1	4188.0	0.0	0.0	0.0	16.0	6.0	0.0	2.0	0.0	0.0	1.0	6.0	9.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0	2.0	37.0	70.0	0.0	0.0	1995.0	1.0	0.0	12.0	43.0	41.0	1445.0	9.0	12.0	110.0	56.0	80.0	16.0	80.0	55.0	11.0	6.0	3.0	4.0	4.0	9.0	8.0	1.0	4.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	3.0	3.0	4.0	0.0
Oxidoreductases;Acting on the CH-NH group of donors;With NAD+ or NADP+ as acceptor;Pyrroline-5-carboxylate reductase	https://www.genome.jp/dbget-bin/www_bget?EC:1.5.1.2	EC:1.5.1.2	218926.69999999998	4638.67	2451.67	2789.83	4610.5	4946.67	3878.83	3337.83	4133.5	3759.67	573.8	1690.17	757.6299999999999	5653.2	2205.83	1950.9	3582.5	6021.0	6446.5	849.67	4612.67	4299.33	1941.67	5313.17	2999.33	2906.67	432.83	3033.17	2450.17	753.0	2735.5	2734.67	246.5	4738.67	2736.67	2643.67	2552.17	3195.0	5530.83	4735.67	3940.83	3421.17	3505.67	1191.83	2169.0	1006.5	1654.0	4982.0	6767.0	1325.33	4629.0	4332.17	4918.17	5514.83	760.83	1926.0	1270.33	7141.17	4339.17	3119.17	4691.4	3162.9	6323.5	7414.5	4550.5
Oxidoreductases;Acting on the CH-NH group of donors;With NAD+ or NADP+ as acceptor;Methylenetetrahydrofolate reductase (NAD(P)H)	https://www.genome.jp/dbget-bin/www_bget?EC:1.5.1.20	EC:1.5.1.20	77713.5	3475.0	1962.5	2256.5	3473.5	3594.5	3023.0	2753.0	1401.0	2539.5	392.5	1403.0	396.0	5628.5	191.0	1928.5	3544.5	49.0	51.0	110.5	161.5	118.0	530.5	43.5	513.5	1998.0	47.5	14.0	72.0	99.5	107.5	1521.0	47.0	3631.5	968.0	917.0	893.5	2513.0	2976.0	3987.5	3674.0	121.5	251.5	428.5	908.5	257.5	238.5	217.5	32.0	61.5	1010.0	621.0	1512.0	965.5	5.0	169.0	143.5	453.5	1226.0	1886.0	836.5	1121.5	293.5	612.0	1334.5
Oxidoreductases;Acting on the CH-NH group of donors;With NAD+ or NADP+ as acceptor;N(5)-(carboxyethyl)ornithine synthase	https://www.genome.jp/dbget-bin/www_bget?EC:1.5.1.24	EC:1.5.1.24	92975.0	818.0	418.5	458.5	916.0	1268.0	653.5	466.0	2633.0	64.0	146.5	263.0	305.5	22.5	912.5	21.0	30.0	5958.0	6391.5	636.0	4312.5	4095.5	1243.0	5244.0	2370.0	896.0	114.5	2939.0	2286.0	535.0	2556.0	1030.5	34.5	1065.5	57.0	99.0	138.0	192.0	2497.0	732.5	239.0	74.0	97.5	60.5	59.0	149.5	54.5	17.0	13.0	42.0	821.0	2331.0	597.0	668.0	3.0	34.0	371.0	6608.0	3096.5	1113.0	3801.5	2010.0	5984.0	6741.5	3170.0
Oxidoreductases;Acting on the CH-NH group of donors;With NAD+ or NADP+ as acceptor;Opine dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.5.1.28	EC:1.5.1.28	5222.2	3.67	0.67	3.83	3.0	3.17	3.33	4.83	0.5	0.17	0.0	0.17	0.33	0.0	0.33	0.0	0.0	0.0	0.0	1.17	0.67	0.83	1.17	0.67	0.83	10.67	135.83	48.17	71.17	4.5	3.0	85.17	72.0	3.67	29.67	29.67	25.67	470.0	5.83	1.67	6.83	0.67	0.67	2.83	1.5	313.5	3.0	0.5	0.0	1115.83	31.0	264.17	21.17	38.33	741.83	985.0	664.83	1.67	0.67	1.17	0.0	0.0	0.0	0.0	1.0
Oxidoreductases;Acting on the CH-NH group of donors;With NAD+ or NADP+ as acceptor;Dihydrofolate reductase	https://www.genome.jp/dbget-bin/www_bget?EC:1.5.1.3	EC:1.5.1.3	203654.69999999998	4638.67	2451.67	2789.83	4610.5	4946.67	3878.83	3337.83	4133.5	1227.67	199.8	541.1700000000002	631.6299999999999	46.2	2084.83	26.9	143.5	6021.0	6446.5	849.67	4612.67	4299.33	1941.67	5313.17	2999.33	2906.67	432.83	3033.17	2450.17	753.0	2735.5	2734.67	246.5	4738.67	2736.67	2643.67	2552.17	3195.0	5530.83	4735.67	3940.83	3421.17	3505.67	1191.83	2169.0	1006.5	1654.0	4982.0	6767.0	1325.33	4629.0	4332.17	4918.17	5514.83	760.83	1926.0	1270.33	7141.17	4339.17	3119.17	4691.4	3162.9	6323.5	7414.5	4550.5
