#Level1	Level2	Level3	unknown	Pathway
Biosynthesis	Cell Structure Biosynthesis	Plant Cell Structures	phenylpropanoid biosynthesis	PWY-361
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	Superpathways	&gamma,-butyrobetaine degradation	PWY-3621
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	L-Carnitine Degradation	L-carnitine degradation III	PWY-3641
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	Glycine Betaine Degradation	glycine betaine degradation I	PWY-3661
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	Glycine Betaine Degradation	glycine betaine degradation II (mammalian)	PWY-3661-1
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	Choline Degradation	choline degradation II	PWY-3721
Biosynthesis	Amine and Polyamine Biosynthesis	Betaine Biosynthesis	glycine betaine biosynthesis II (Gram-positive bacteria)	PWY-3722
Generation of Precursor Metabolites and Energy	Electron Transfer Chains	unknown	aerobic respiration I (cytochrome c)	PWY-3781
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	sucrose degradation II (sucrose synthase)	PWY-3801
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Nitrogen Compound Metabolism	nitrate reduction II (assimilatory)	PWY-381
Detoxification	Detoxification	unknow	galactose degradation III	PWY-3821
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	folate transformations II	PWY-3841
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	mannitol degradation II	PWY-3861
Biosynthesis	Secondary Metabolite Biosynthesis	Sugar Derivative Biosynthesis	mannitol biosynthesis	PWY-3881
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	berberine biosynthesis	PWY-3901
Biosynthesis	Amino Acid Biosynthesis	Other Amino Acid Biosynthesis	&beta,-alanine biosynthesis II	PWY-3941
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	phosphopantothenate biosynthesis II	PWY-3961
Biosynthesis	Amino Acid Biosynthesis	Other Amino Acid Biosynthesis	&beta,-alanine biosynthesis I	PWY-3981
Biosynthesis	Amino Acid Biosynthesis	Other Amino Acid Biosynthesis	uracil degradation I (reductive)	PWY-3982
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	UDP-D-galacturonate biosynthesis II (from D-galacturonate)	PWY-4
Biosynthesis	Amine and Polyamine Biosynthesis	Putrescine Biosynthesis	putrescine biosynthesis I	PWY-40
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-asparagine degradation II	PWY-4002
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Glycolipid Biosynthesis	galactolipid biosynthesis I	PWY-401
Biosynthesis	Amine and Polyamine Biosynthesis	Betaine Biosynthesis	&beta,-alanine betaine biosynthesis	PWY-4021
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	&gamma,-glutamyl cycle	PWY-4041
Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other	Detoxification	glutathione-mediated detoxification I	PWY-4061
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	glutathione redox reactions I	PWY-4081
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Sugar Derivative Degradation	D-sorbitol degradation I	PWY-4101
Biosynthesis	Amine and Polyamine Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	glutathionylspermidine biosynthesis	PWY-4121
Biosynthesis	Secondary Metabolite Biosynthesis	Superpathways	superpathway of benzoxazinoid glucosides biosynthesis	PWY-4161
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	glutathione amide metabolism	PWY-4181
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	volatile cinnamoic ester biosynthesis	PWY-4201
Detoxification	Arsenate Detoxification	unknow	arsenate detoxification I (glutaredoxin)	PWY-4202
Biosynthesis	Aromatic Compound Biosynthesis	Volatile Benzenoid Biosynthesis	volatile benzenoid biosynthesis I (ester formation)	PWY-4203
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	pantothenate and coenzyme A biosynthesis II (plants)	PWY-4221
Degradation/Utilization/Assimilation	Alcohol Degradation	Glycerol Degradation	glycerol degradation I	PWY-4261
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-proline biosynthesis IV	PWY-4281
Biosynthesis	Amine and Polyamine Biosynthesis	Putrescine Biosynthesis	putrescine biosynthesis II	PWY-43
Generation of Precursor Metabolites and Energy	Electron Transfer Chains	unknown	aerobic respiration III (alternative oxidase pathway)	PWY-4302
Degradation/Utilization/Assimilation	Amino Acid Degradation	PWY-4321	L-glutamate degradation IV	PWY-4321
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-glutamate biosynthesis V	PWY-4341
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	S-methyl-5-thio-&alpha,-D-ribose 1-phosphate degradation	PWY-4361
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	fatty acid biosynthesis initiation I	PWY-4381
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	curcumin glucoside biosynthesis	PWY-4421
Activation/Inactivation/Interconversion	Activation	unknow	DIMBOA-glucoside activation	PWY-4441
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	wighteone and luteone biosynthesis	PWY-4502
Detoxification	Arsenate Detoxification	Generation of Precursor Metabolites and Energy	arsenite oxidation I (respiratory)	PWY-4521
Biosynthesis	Amine and Polyamine Biosynthesis	Putrescine Biosynthesis	putrescine biosynthesis III	PWY-46
Generation of Precursor Metabolites and Energy	Respiration	unknown	arsenate reduction (respiratory)	PWY-4601
Detoxification	Arsenate Detoxification	unknow	arsenate detoxification II (glutaredoxin)	PWY-4621
Biosynthesis	Secondary Metabolite Biosynthesis	Sugar Derivative Biosynthesis	1D-myo-inositol hexakisphosphate biosynthesis III (Spirodela polyrrhiza)	PWY-4661
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	kievitone biosynthesis	PWY-4681
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Sugar Derivative Degradation	phytate degradation I	PWY-4702
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	Creatinine Degradation	creatinine degradation II	PWY-4722
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	Creatinine Degradation	creatinine degradation III	PWY-4741
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Superpathways	superpathway of choline biosynthesis	PWY-4762
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Sugar Derivative Degradation	phytate degradation II	PWY-4781
Biosynthesis	Secondary Metabolite Biosynthesis	Polyketide Biosynthesis	aloesone biosynthesis I	PWY-4801
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	unknow	ethylbenzene degradation (anaerobic)	PWY-481
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	UDP-D-xylose biosynthesis	PWY-4821
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	UDP-&alpha,-D-glucuronate biosynthesis (from myo-inositol)	PWY-4841
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	UDP-D-galacturonate biosynthesis I (from UDP-D-glucuronate)	PWY-4861
Biosynthesis	Amino Acid Biosynthesis	Modification of Amino Acid Within Proteins	protein citrullination	PWY-4921
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	6-methoxymellein biosynthesis	PWY-4922
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	sterculate biosynthesis	PWY-4942
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	&beta,-pyrazole-1-ylalanine biosynthesis	PWY-4961
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-proline biosynthesis II (from arginine)	PWY-4981
Biosynthesis	Metabolic Regulator Biosynthesis	Nitric Oxide Biosynthesis	L-citrulline-nitric oxide cycle	PWY-4983
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Nitrogen Compound Metabolism	urea cycle	PWY-4984
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	mimosine biosynthesis	PWY-4985
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	canavanine biosynthesis	PWY-5
Biosynthesis	Secondary Metabolite Biosynthesis	Xanthone Biosynthesis	tetrahydroxyxanthone biosynthesis (from benzoate)	PWY-5001
Biosynthesis	Secondary Metabolite Biosynthesis	Xanthone Biosynthesis	tetrahydroxyxanthone biosynthesis (from 3-hydroxybenzoate)	PWY-5002
Biosynthesis	Amino Acid Biosynthesis	Other Amino Acid Biosynthesis	superpathway of L-citrulline metabolism	PWY-5004
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	biotin biosynthesis II	PWY-5005
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	willardiine and isowillardiine biosynthesis	PWY-5021
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	4-Aminobutanoate Degradation	4-aminobutanoate degradation V	PWY-5022
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-arginine degradation XI	PWY-5024
Biosynthesis	Secondary Metabolite Biosynthesis	Hormone Biosynthesis	indole-3-acetate biosynthesis IV (bacteria)	PWY-5025
Biosynthesis	Secondary Metabolite Biosynthesis	Hormone Biosynthesis	indole-3-acetate biosynthesis V (bacteria and fungi)	PWY-5026
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	phylloquinol biosynthesis	PWY-5027
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-histidine degradation II	PWY-5028
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	imidazole-lactate degradation	PWY-5029
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-histidine degradation III	PWY-5030
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-histidine degradation V	PWY-5031
Biosynthesis	Secondary Metabolite Biosynthesis	Hormone Biosynthesis	ent-kaurene biosynthesis I	PWY-5032
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Nicotinate Degradation	nicotinate degradation II	PWY-5033
Biosynthesis	Secondary Metabolite Biosynthesis	Hormone Biosynthesis	GA12 biosynthesis	PWY-5034
Biosynthesis	Secondary Metabolite Biosynthesis	Hormone Biosynthesis	gibberellin biosynthesis III (early C-13 hydroxylation)	PWY-5035
Biosynthesis	Secondary Metabolite Biosynthesis	Hormone Biosynthesis	gibberellin biosynthesis II (early C-3 hydroxylation)	PWY-5036
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	caffeine biosynthesis I	PWY-5037
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	caffeine biosynthesis II (via paraxanthine)	PWY-5038
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	theobromine biosynthesis I	PWY-5039
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	theobromine biosynthesis II (via xanthine)	PWY-5040
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	S-adenosyl-L-methionine cycle II	PWY-5041
Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	Superpathways	purine nucleotides degradation I (plants)	PWY-5044
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	pinosylvin metabolism	PWY-5045
Generation of Precursor Metabolites and Energy	Respiration	unknow	2-oxoisovalerate decarboxylation to isobutanoyl-CoA	PWY-5046
Biosynthesis	Secondary Metabolite Biosynthesis	Hormone Biosynthesis	gibberellin biosynthesis IV (Gibberella fujikuroi)	PWY-5047
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	rosmarinic acid biosynthesis I	PWY-5048
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	rosmarinic acid biosynthesis II	PWY-5049
Biosynthesis	Secondary Metabolite Biosynthesis	Hormone Biosynthesis	superpathway of gibberellin biosynthesis	PWY-5052
Biosynthesis	Secondary Metabolite Biosynthesis	Hormone Biosynthesis	superpathway of gibberellin GA12 biosynthesis	PWY-5053
Biosynthesis	Secondary Metabolite Biosynthesis	Sugar Derivative Biosynthesis	sorbitol biosynthesis I	PWY-5054
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Nicotinate Degradation	nicotinate degradation III	PWY-5055
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-valine degradation II	PWY-5057
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	pinobanksin biosynthesis	PWY-5059
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	luteolin biosynthesis	PWY-5060
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	6,7,4'-trihydroxyisoflavone biosynthesis	PWY-5061
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Superpathways	superpathway of nicotinate degradation	PWY-5062
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	phytyl diphosphate biosynthesis	PWY-5063
Biosynthesis	Tetrapyrrole Biosynthesis	Porphyrin Compound Biosynthesis	chlorophyll a biosynthesis II	PWY-5064
Biosynthesis	Carbohydrate Biosynthesis	Glycan Biosynthesis	glycogen biosynthesis II (from UDP-D-Glucose)	PWY-5067
Biosynthesis	Tetrapyrrole Biosynthesis	Porphyrin Compound Biosynthesis	chlorophyll cycle	PWY-5068
Biosynthesis	Secondary Metabolite Biosynthesis	Hormone Biosynthesis	gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)	PWY-5070
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	superpathway of rosmarinic acid biosynthesis	PWY-5071
Degradation/Utilization/Assimilation	Carboxylate Degradation	unknow	mevalonate degradation	PWY-5074
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-leucine degradation II	PWY-5075
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-leucine degradation III	PWY-5076
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-isoleucine degradation II	PWY-5078
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-phenylalanine degradation III	PWY-5079
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	very long chain fatty acid biosynthesis I	PWY-5080
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-tryptophan degradation VIII (to tryptophol)	PWY-5081
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-methionine degradation III	PWY-5082
Activation/Inactivation/Interconversion	Interconversions	Biosynthesis	NAD/NADH phosphorylation and dephosphorylation	PWY-5083
Generation of Precursor Metabolites and Energy	Respiration	unknow	2-oxoglutarate decarboxylation to succinyl-CoA	PWY-5084
Biosynthesis	Tetrapyrrole Biosynthesis	Porphyrin Compound Biosynthesis	chlorophyll a biosynthesis I	PWY-5086
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-glutamate degradation VI (to pyruvate)	PWY-5087
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-glutamate degradation VIII (to propanoate)	PWY-5088
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	naringenin glycoside biosynthesis	PWY-5094
Degradation/Utilization/Assimilation	Carboxylate Degradation	Fermentation to Acetate	pyruvate fermentation to acetate and alanine	PWY-5096
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-lysine biosynthesis VI	PWY-5097
Degradation/Utilization/Assimilation	Cofactor, Prosthetic Group, Electron Carrier Degradation	Tetrapyrrole Degradation	chlorophyll a degradation I	PWY-5098
Degradation/Utilization/Assimilation	Carboxylate Degradation	Fermentation to Acetate	pyruvate fermentation to acetate and lactate II	PWY-5100
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-isoleucine biosynthesis II	PWY-5101
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-isoleucine biosynthesis III	PWY-5103
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-isoleucine biosynthesis IV	PWY-5104
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	hesperitin glycoside biosynthesis	PWY-5105
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	phytol salvage pathway	PWY-5107
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-isoleucine biosynthesis V	PWY-5108
Generation of Precursor Metabolites and Energy	Fermentation	Fermentation to Short-Chain Fatty Acids	2-methylbutanoate biosynthesis	PWY-5109
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	trigonelline biosynthesis	PWY-5110
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	UDP-D-apiose biosynthesis (from UDP-D-glucuronate)	PWY-5113
Activation/Inactivation/Interconversion	Interconversions	Biosynthesis	UDP-sugars interconversion	PWY-5114
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	GDP-L-galactose biosynthesis	PWY-5115
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	sakuranetin biosynthesis	PWY-5116
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	ponciretin biosynthesis	PWY-5118
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	acacetin biosynthesis	PWY-5119
Biosynthesis	Polyprenyl Biosynthesis	Geranylgeranyl Diphosphate Biosynthesis	geranylgeranyl diphosphate biosynthesis	PWY-5120
Biosynthesis	Polyprenyl Biosynthesis	Geranylgeranyl Diphosphate Biosynthesis	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	PWY-5121
Biosynthesis	Polyprenyl Biosynthesis	All-trans Polyprenyl Biosynthesis	geranyl diphosphate biosynthesis	PWY-5122
Biosynthesis	Polyprenyl Biosynthesis	All-trans Polyprenyl Biosynthesis	trans, trans-farnesyl diphosphate biosynthesis	PWY-5123
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	anthocyanin biosynthesis (cyanidin 3-O-glucoside)	PWY-5125
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Sphingolipid Biosynthesis	sphingolipid biosynthesis (plants)	PWY-5129
Degradation/Utilization/Assimilation	Carboxylate Degradation	2-Oxobutanoate Degradation	2-oxobutanoate degradation I	PWY-5130
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenophenolic Biosynthesis	humulone biosynthesis	PWY-5132
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenophenolic Biosynthesis	cohumulone biosynthesis	PWY-5133
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenophenolic Biosynthesis	bitter acids biosynthesis	PWY-5134
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	xanthohumol biosynthesis	PWY-5135
Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	Fatty Acid Degradation	fatty acid &beta,-oxidation II (peroxisome)	PWY-5136
Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	Fatty Acid Degradation	fatty acid &beta,-oxidation III (unsaturated, odd number)	PWY-5137
Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	Fatty Acid Degradation	unsaturated, even numbered fatty acid &beta,-oxidation	PWY-5138
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	pelargonidin conjugates biosynthesis	PWY-5139
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenophenolic Biosynthesis	cannabinoid biosynthesis	PWY-5140
Biosynthesis	Fatty Acid and Lipid Biosynthesis	unknow	acyl-ACP thioesterase pathway	PWY-5142
Activation/Inactivation/Interconversion	Activation	Biosynthesis	long-chain fatty acid activation	PWY-5143
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	oleate biosynthesis I (plants)	PWY-5147
Biosynthesis	Fatty Acid and Lipid Biosynthesis	unknow	acyl-CoA hydrolysis	PWY-5148
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-tyrosine degradation II	PWY-5151
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	leucodelphinidin biosynthesis	PWY-5152
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	anthocyanin biosynthesis (delphinidin 3-O-glucoside)	PWY-5153
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-arginine biosynthesis III (via N-acetyl-L-citrulline)	PWY-5154
Biosynthesis	Amino Acid Biosynthesis	Other Amino Acid Biosynthesis	&beta,-alanine biosynthesis III	PWY-5155
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	superpathway of fatty acid biosynthesis II (plant)	PWY-5156
Degradation/Utilization/Assimilation	Amino Acid Degradation	Other Amino Acid Degradation	trans-4-hydroxy-L-proline degradation II	PWY-5159
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	rose anthocyanin biosynthesis I (via cyanidin 5-O-&beta,-D-glucoside)	PWY-5160
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	6'-deoxychalcone metabolism	PWY-5161
Degradation/Utilization/Assimilation	Carboxylate Degradation	unknow	2-oxopentenoate degradation	PWY-5162
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	unknow	p-cumate degradation to 2-oxopent-4-enoate	PWY-5163
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Sulfoaromatic Compound Degradation	4-toluenesulfonate degradation II	PWY-5165
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	ferulate and sinapate biosynthesis	PWY-5168
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Cyanurate Degradation	cyanurate degradation	PWY-5169
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	s-Triazine Degredation	melamine degradation	PWY-5170
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	s-Triazine Degredation	N-cyclopropylmelamine degradation	PWY-5171
Generation of Precursor Metabolites and Energy	Acetyl-CoA Biosynthesis	unknow	acetyl-CoA biosynthesis III (from citrate)	PWY-5172
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	capsanthin and capsorubin biosynthesis	PWY-5174
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	lactucaxanthin biosynthesis	PWY-5175
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	coumarin biosynthesis (via 2-coumarate)	PWY-5176
Degradation/Utilization/Assimilation	Carboxylate Degradation	unknow	glutaryl-CoA degradation	PWY-5177
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Toluene Degradation	toluene degradation IV (aerobic) (via catechol)	PWY-5178
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Toluene Degradation	toluene degradation V (aerobic) (via toluene-cis-diol)	PWY-5179
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Toluene Degradation	toluene degradation I (aerobic) (via o-cresol)	PWY-5180
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Toluene Degradation	toluene degradation III (aerobic) (via p-cresol)	PWY-5181
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	PWY-5182	toluene degradation II (aerobic) (via 4-methylcatechol)	PWY-5182
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Toluene Degradation	superpathway of aerobic toluene degradation	PWY-5183
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Toluene Degradation	toluene degradation VI (anaerobic)	PWY-5184
Biosynthesis	Tetrapyrrole Biosynthesis	unknow	tetrapyrrole biosynthesis I (from glutamate)	PWY-5188
Biosynthesis	Tetrapyrrole Biosynthesis	unknow	tetrapyrrole biosynthesis II (from glycine)	PWY-5189
Biosynthesis	Tetrapyrrole Biosynthesis	Porphyrin Compound Biosynthesis	siroheme biosynthesis	PWY-5194
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	artemisinin biosynthesis	PWY-5195
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	factor 430 biosynthesis	PWY-5196
Generation of Precursor Metabolites and Energy	Generation of Precursor Metabolites and Energy	unknow	lactate biosynthesis (archaea)	PWY-5197
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	factor 420 biosynthesis	PWY-5198
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	factor 420 polyglutamylation	PWY-5199
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	soybean saponin I biosynthesis	PWY-5203
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	coenzyme B/coenzyme M regeneration	PWY-5207
Generation of Precursor Metabolites and Energy	Respiration	Methanogenesis	methyl-coenzyme M oxidation to CO2	PWY-5209
Generation of Precursor Metabolites and Energy	Respiration	Methanogenesis	methanogenesis from methylamine	PWY-5247
Generation of Precursor Metabolites and Energy	Respiration	Methanogenesis	methanogenesis from dimethylamine	PWY-5248
Generation of Precursor Metabolites and Energy	Respiration	Methanogenesis	methanogenesis from trimethylamine	PWY-5250
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	methanofuran biosynthesis	PWY-5254
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	superpathway of pentose and pentitol degradation	PWY-5257
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	methanogenesis from dimethylsulfide	PWY-5258
Generation of Precursor Metabolites and Energy	Respiration	Methanogenesis	methanogenesis from methanethiol	PWY-5259
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	methanogenesis from methylthiopropanoate	PWY-5260
Generation of Precursor Metabolites and Energy	Respiration	Methanogenesis	methanogenesis from tetramethylammonium	PWY-5261
Biosynthesis	Cell Structure Biosynthesis	Cell Wall Biosynthesis	peptidoglycan biosynthesis II (staphylococci)	PWY-5265
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Superpathways	p-cymene degradation	PWY-5266
